Country Name,Country Code,Land Area (km2),Continent,Capital
Afghanistan,AFG,652230,Asia,Kabul
Albania,ALB,27400,Europe,Tirana
Algeria,DZA,2381740,Africa,Algiers
American Samoa,ASM,200,Oceania,Pago Pago
Andorra,AND,470,Europe,Andorra la Vella
Angola,AGO,1246700,Africa,Luanda
Antigua and Barbuda,ATG,440,North America,Saint John's
Argentina,ARG,2736690,South America,Buenos Aires
Armenia,ARM,28199,Asia,Yerevan
Aruba,ABW,180,North America,Oranjestad
Australia,AUS,7692020,Oceania,Canberra
Austria,AUT,82520,Europe,Vienna
Azerbaijan,AZE,82650,Asia,Baku
Bahamas,BHS,10010,North America,Nassau
Bahrain,BHR,800,Asia,Manama
Bangladesh,BGD,129980,Asia,Dhaka
Barbados,BRB,430,North America,Bridgetown
Belarus,BLR,202983,Europe,Minsk
Belgium,BEL,30494,Europe,Brussels
Belize,BLZ,22810,North America,Belmopan
Benin,BEN,112760,Africa,Porto-Novo
Bermuda,BMU,54,North America,Hamilton
Bhutan,BTN,38140,Asia,Thimphu
Bolivia,BOL,1083300,South America,Sucre
Bosnia and Herzegovina,BIH,51200,Europe,Sarajevo
Botswana,BWA,566730,Africa,Gaborone
Brazil,BRA,8358140,South America,Brasília
Brunei Darussalam,BRN,5270,Asia,Bandar Seri Begawan
Bulgaria,BGR,108560,Europe,Sofia
Burkina Faso,BFA,273600,Africa,Ouagadougou
Burundi,BDI,25680,Africa,Gitega
Cabo Verde,CPV,4030,Africa,Praia
Cambodia,KHM,176520,Asia,Phnom Penh
Cameroon,CMR,472710,Africa,Yaoundé
Canada,CAN,9093510,North America,Ottawa
Cayman Islands,CYM,240,North America,George Town
Central African Republic,CAF,622980,Africa,Bangui
Chad,TCD,1259200,Africa,N'Djamena
Chile,CHL,743532,South America,Santiago
China,CHN,9388211,Asia,Beijing
Colombia,COL,1109500,South America,Bogotá
Comoros,COM,1861,Africa,Moroni
Costa Rica,CRI,51060,North America,San José
Croatia,HRV,55960,Europe,Zagreb
Cuba,CUB,106440,North America,Havana
Curaçao,CUW,444,North America,Willemstad
