country_code,country_name,capital,land_area_km2,continent
AFG,Afghanistan,Kabul,652230,Asia
ALB,Albania,Tirana,28748,Europe
DZA,Algeria,Algiers,2381741,Africa
ASM,American Samoa,Pago Pago,199,Oceania
VIR,American Virgin Islands,Charlotte Amalie,347,North America
AND,Andorra,Andorra la Vella,468,Europe
AGO,Angola,Luanda,1246700,Africa
ATG,Antigua and Barbuda,Saint John's,442,North America
ARG,Argentina,Buenos Aires,2780400,South America
ARM,Armenia,Yerevan,29743,Asia
ABW,Aruba,Oranjestad,180,North America
AUS,Australia,Canberra,7692024,Oceania
AUT,Austria,Vienna,83871,Europe
AZE,Azerbaijan,Baku,86600,Asia
BHS,Bahamas,Nassau,13943,North America
BHR,Bahrain,Manama,765,Asia
BGD,Bangladesh,Dhaka,147570,Asia
BRB,Barbados,Bridgetown,430,North America
BLR,Belarus,Minsk,207600,Europe
BEL,Belgium,Brussels,30528,Europe
BLZ,Belize,Belmopan,22966,North America
BEN,Benin,Porto-Novo,112622,Africa
BMU,Bermuda,Hamilton,54,North America
BTN,Bhutan,Thimphu,38394,Asia
BOL,Bolivia,Sucre,1098581,South America
BIH,Bosnia and Herzegovina,Sarajevo,51209,Europe
BWA,Botswana,Gaborone,582000,Africa
BRA,Brazil,Brasília,8515767,South America
VGB,British Virgin Islands,Road Town,151,North America
BRN,Brunei Darussalam,Bandar Seri Begawan,5765,Asia
BGR,Bulgaria,Sofia,110879,Europe
BFA,Burkina Faso,Ouagadougou,272967,Africa
BDI,Burundi,Gitega,27834,Africa
CPV,Cabo Verde,Praia,4033,Africa
KHM,Cambodia,Phnom Penh,181035,Asia
CMR,Cameroon,Yaoundé,475442,Africa
CAN,Canada,Ottawa,9984670,North America
CYM,Cayman Islands,George Town,264,North America
CAF,Central African Republic,Bangui,622984,Africa
TCD,Chad,N'Djamena,1284000,Africa
CHI,Channel Islands,Saint Peter Port,198,Europe
CHL,Chile,Santiago,756102,South America
CHN,China,Beijing,9706961,Asia
COL,Colombia,Bogotá,1141748,South America
COM,Comoros,Moroni,1862,Africa
CRI,Costa Rica,San José,51100,North America
CIV,Cote d'Ivoire,Yamoussoukro,322463,Africa
HRV,Croatia,Zagreb,56594,Europe
CUB,Cuba,Havana,109884,North America
CUW,Curacao,Willemstad,444,North America
CYP,Cyprus,Nicosia,9251,Europe
CZE,Czechia,Prague,78865,Europe
COD,Democratic Republic of the Congo,Kinshasa,2344858,Africa
DNK,Denmark,Copenhagen,43094,Europe
DJI,Djibouti,Djibouti,23200,Africa
DMA,Dominica,Roseau,751,North America
DOM,Dominican Republic,Santo Domingo,48671,North America
SXM,Dutch Sint Maarten,Philipsburg,34,North America
ECU,Ecuador,Quito,276841,South America
EGY,Egypt,Cairo,1002450,Africa
SLV,El Salvador,San Salvador,21041,North America
GNQ,Equatorial Guinea,Malabo,28051,Africa
ERI,Eritrea,Asmara,117600,Africa
EST,Estonia,Tallinn,45227,Europe
SWZ,Eswatini,Mbabane,17364,Africa
ETH,Ethiopia,Addis Ababa,1104300,Africa
FRO,Faroe Islands,Tórshavn,1393,Europe
FJI,Fiji,Suva,18272,Oceania
FIN,Finland,Helsinki,338455,Europe
FRA,France,Paris,543908,Europe
PYF,French Polynesia,Papeetē,4167,Oceania
MAF,French St. Martin,Marigot,53,North America
GAB,Gabon,Libreville,267668,Africa
GMB,"Gambia, The",Banjul,10689,Africa
GEO,Georgia,Tbilisi,69700,Asia
DEU,Germany,Berlin,357114,Europe
GHA,Ghana,Accra,238533,Africa
GIB,Gibraltar,Gibraltar,6,Europe
GRC,Greece,Athens,131990,Europe
GRL,Greenland,Nuuk,2166086,North America
GRD,Grenada,St. George's,344,North America
GUM,Guam,Hagåtña,549,Oceania
GTM,Guatemala,Guatemala City,108889,North America
GIN,Guinea,Conakry,245857,Africa
GNB,Guinea-Bissau,Bissau,36125,Africa
GUY,Guyana,Georgetown,214969,South America
HTI,Haiti,Port-au-Prince,27750,North America
HND,Honduras,Tegucigalpa,112492,North America
HKG,"Hong Kong SAR, China",City of Victoria,1104,Asia
HUN,Hungary,Budapest,93028,Europe
ISL,Iceland,Reykjavik,103000,Europe
IND,India,New Delhi,3287263,Asia
IDN,Indonesia,Jakarta,1904569,Asia
IRN,Iran,Tehran,1648195,Asia
IRQ,Iraq,Baghdad,438317,Asia
IRL,Ireland,Dublin,70273,Europe
IMN,Isle of Man,Douglas,572,Europe
ISR,Israel,Jerusalem,21937,Asia
ITA,Italy,Rome,301336,Europe
JAM,Jamaica,Kingston,10991,North America
JPN,Japan,Tokyo,377930,Asia
JOR,Jordan,Amman,89342,Asia
KAZ,Kazakhstan,Astana,2724900,Asia
KEN,Kenya,Nairobi,580367,Africa
KIR,Kiribati,South Tarawa,811,Oceania
XKX,Kosovo,Pristina,10887,Europe
KWT,Kuwait,Kuwait City,17818,Asia
